iter	Passed	Remaining
0	2	216
1	4	196
2	5	187
3	7	171
4	9	171
5	10	166
6	12	161
7	13	155
8	14	151
9	16	147
10	17	144
11	19	141
12	20	137
13	22	136
14	23	133
15	25	131
16	26	129
17	27	126
18	29	124
19	30	122
20	32	120
21	33	118
22	34	116
23	36	115
24	37	113
25	39	111
26	40	110
27	42	108
28	43	106
29	44	104
30	46	103
31	47	101
32	49	99
33	50	98
34	52	96
35	53	95
36	55	93
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	78
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	67
54	80	66
55	82	65
56	85	64
57	87	63
58	89	61
59	91	60
60	93	59
61	95	58
62	97	57
63	99	55
64	101	54
65	103	53
66	105	51
67	106	50
68	107	48
69	109	46
70	110	45
71	112	43
72	113	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	124	31
80	126	29
81	127	28
82	129	26
83	130	24
84	131	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	140	13
91	142	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	151	3
98	152	1
99	154	0
