iter	Passed	Remaining
0	180	179878
1	184	92001
2	186	62083
3	190	47441
4	193	38430
5	196	32583
6	199	28292
7	201	25019
8	204	22514
9	213	21128
10	217	19514
11	219	18036
12	223	16985
13	227	15987
14	229	15086
15	232	14318
16	236	13667
17	238	13029
18	243	12585
19	249	12221
20	253	11798
21	257	11428
22	262	11152
23	265	10807
24	269	10517
25	273	10255
26	279	10072
27	281	9770
28	283	9489
29	288	9335
30	295	9246
31	298	9025
32	300	8794
33	306	8696
34	309	8523
35	311	8350
36	318	8278
37	325	8242
38	329	8130
39	336	8070
40	338	7928
41	346	7907
42	353	7858
43	355	7721
44	357	7581
45	359	7456
46	363	7379
47	366	7277
48	368	7158
49	370	7046
50	372	6936
51	377	6885
52	380	6792
53	381	6688
54	383	6590
55	385	6495
56	387	6403
57	393	6398
58	396	6327
59	400	6276
60	417	6423
61	422	6389
62	428	6376
63	430	6301
64	435	6260
65	438	6208
66	445	6200
67	454	6222
68	456	6155
69	458	6086
70	460	6027
71	462	5967
72	465	5914
73	467	5850
74	469	5793
75	472	5746
76	478	5736
77	481	5689
78	484	5644
79	487	5607
80	493	5599
81	496	5558
82	498	5502
83	500	5458
84	502	5410
85	506	5386
86	509	5350
87	511	5302
88	513	5254
89	515	5210
90	517	5168
91	519	5131
92	523	5106
93	525	5063
94	527	5023
95	529	4989
96	531	4949
97	533	4911
98	537	4892
99	539	4856
100	541	4820
101	543	4786
102	545	4750
103	548	4723
104	553	4715
105	555	4684
106	557	4651
107	559	4619
108	561	4586
109	563	4558
110	566	4534
111	569	4513
112	570	4480
113	573	4454
114	575	4428
115	576	4396
116	578	4363
117	581	4347
118	584	4329
119	586	4303
120	588	4278
121	590	4251
122	592	4224
123	595	4203
124	597	4184
125	600	4163
126	602	4140
127	604	4118
128	606	4095
129	610	4087
130	617	4098
131	620	4079
132	622	4058
133	627	4055
134	633	4058
135	636	4044
136	640	4034
137	644	4027
138	650	4026
139	652	4009
140	657	4007
141	659	3983
142	663	3974
143	666	3963
144	671	3961
145	674	3947
146	680	3948
147	683	3932
148	687	3925
149	693	3928
150	695	3912
151	700	3909
152	704	3898
153	709	3900
154	713	3891
155	716	3876
156	719	3862
157	724	3861
158	726	3843
159	732	3844
160	734	3827
161	736	3809
162	738	3791
163	740	3773
164	742	3758
165	746	3751
166	749	3739
167	751	3723
168	753	3706
169	755	3689
170	757	3672
171	760	3659
172	763	3647
173	765	3633
174	767	3617
175	769	3602
176	774	3600
177	779	3598
178	782	3588
179	784	3575
180	790	3578
181	795	3576
182	800	3574
183	811	3600
184	817	3600
185	823	3603
186	828	3603
187	831	3590
188	833	3576
189	841	3587
190	844	3575
191	847	3564
192	860	3599
193	862	3584
194	864	3570
195	876	3595
196	897	3656
197	902	3656
198	910	3666
199	917	3671
200	941	3741
201	950	3753
202	953	3742
203	959	3744
204	970	3763
205	981	3783
206	987	3783
207	994	3786
208	998	3778
209	1000	3764
210	1006	3762
211	1013	3767
212	1018	3764
213	1028	3777
214	1033	3772
215	1041	3780
216	1044	3767
217	1046	3754
218	1049	3742
219	1054	3736
220	1058	3730
221	1061	3720
222	1063	3707
223	1073	3719
224	1076	3707
225	1079	3695
226	1082	3684
227	1092	3697
228	1094	3685
229	1096	3671
230	1100	3662
231	1103	3651
232	1105	3637
233	1107	3625
234	1109	3610
235	1110	3595
236	1112	3580
237	1115	3571
238	1117	3558
